"Ticker","Nome","Negócios","Última (R$)","Variação"
"PCAR3","Grupo Pão de Açúcar","37.425.500","3,52","+8,98%"
"BBDC4","Banco Bradesco","24.075.600","16,35","+0,25%"
"BBAS3","Banco do Brasil","24.054.000","20,05","-2,20%"
"B3SA3","B3","21.521.500","12,55","-0,08%"
"PETR4","Petrobras","21.075.300","30,65","+0,59%"
"COGN3","Cogna","19.447.300","2,97","+1,37%"
"RAIZ4","Raízen","18.629.500","1,05","+0,96%"
"ENEV3","Eneva","18.017.300","14,97","+4,61%"
"MGLU3","Magazine Luiza","15.853.100","7,12","+3,19%"
"AZUL4","Azul","15.369.300","0,60","+3,45%"
"ITSA4","Itaúsa","14.348.900","10,93","-0,36%"
"CSAN3","Cosan","14.318.600","5,45","-0,18%"
"RAIL3","Rumo","14.078.200","14,61","-3,05%"
"BEEF3","Minerva","11.941.700","5,75","+0,00%"
"VAMO3","Grupo Vamos","11.014.200","3,87","+0,26%"
"ELET3","Eletrobras","10.955.800","43,32","+1,50%"
"VVEO3","Viveo","10.939.100","0,91","+1,11%"
"ITUB4","Itaú Unibanco","10.741.800","37,20","-0,51%"
"VALE3","Vale","10.397.400","54,92","+0,24%"
"ABEV3","Ambev","10.382.300","12,12","-0,74%"
"USIM5","Usiminas","10.304.800","4,19","+0,72%"
"CPLE6","Copel","9.910.800","12,15","+0,25%"
"LREN3","Lojas Renner","9.254.800","15,85","-0,38%"
"BRAV3","3R Petroleum","9.045.800","19,54","+1,24%"
"ASAI3","Assaí","9.018.900","10,03","-0,69%"
"WEGE3","WEG","8.394.800","37,73","+0,61%"
"MOTV3","Motiva","8.214.200","13,78","-0,86%"
"GGBR4","Gerdau","8.012.900","16,68","+1,96%"
"ONCO3","Oncoclínicas","7.864.400","3,00","-8,81%"
"RADL3","RaiaDrogasil","7.695.700","18,11","-3,00%"
"BBDC3","Banco Bradesco","7.478.100","14,01","+0,36%"
"PETZ3","Petz","7.178.500","3,92","-1,51%"
"PETR3","Petrobras","7.161.500","33,06","+0,12%"
"CYRE3","Cyrela","6.837.600","26,52","+1,49%"
"LVTC3","WDC Networks","6.537.700","3,45","+11,29%"
"BRFS3","BRF","6.524.800","19,88","-0,05%"
"MRVE3","MRV","6.499.200","7,59","+1,20%"
"CBAV3","CBA","6.221.900","3,03","-1,62%"
"CMIG4","Cemig","6.109.200","10,87","-0,09%"
"VBBR3","Vibra Energia","6.028.900","21,57","-0,14%"
"POMO4","Marcopolo","5.961.400","9,25","+0,22%"
"CSNA3","Siderúrgica Nacional","5.928.700","7,24","+1,12%"
"PRIO3","PetroRio","5.768.500","38,18","+0,34%"
"ALOS3","Allos","5.750.000","22,99","-0,22%"
"ANIM3","Ânima Educação","5.570.900","3,23","+1,89%"
"CVCB3","CVC","5.356.500","2,05","+0,49%"
"GOAU4","Metalúrgica Gerdau","5.180.400","9,35","+1,52%"
"OIBR3","Oi","5.147.600","0,63","+6,78%"
"CMIN3","CSN Mineração","5.146.600","5,03","+1,41%"
"EQTL3","Equatorial Energia","4.927.000","35,65","-0,28%"
"BPAC11","Banco BTG Pactual","4.902.900","43,25","-0,12%"
"BHIA3","Casas Bahia","4.884.200","3,12","+3,31%"
"HAPV3","Hapvida","4.662.500","39,10","+2,06%"
"CEAB3","C&A","4.234.000","16,68","+2,08%"
"TIMS3","TIM","4.103.500","22,88","+1,06%"
"RENT3","Localiza","4.082.400","34,62","+0,00%"
"EMBR3","Embraer","4.065.900","75,73","-2,41%"
"RDOR3","Rede D'Or","3.808.700","37,55","-0,58%"
"SRNA3","Serena Energia","3.704.600","12,13","+0,17%"
"DIRR3","Direcional","3.595.500","14,72","+2,01%"
"MRFG3","Marfrig","3.551.600","22,80","+0,44%"
"LWSA3","Locaweb","3.551.000","3,98","-0,25%"
"RECV3","PetroRecôncavo","3.424.700","13,10","+2,58%"
"SIMH3","Simpar","3.361.500","4,62","+2,44%"
"SMFT3","Smart Fit","3.243.900","23,72","+1,85%"
"RAPT4","Randon","3.118.400","6,63","-2,93%"
"CSMG3","COPASA","3.084.800","27,84","-0,46%"
"AURE3","Auren Energia","3.067.100","10,72","+1,80%"
"ENGI11","Energisa","3.049.800","47,31","-0,34%"
"HBSA3","Hidrovias do Brasil","3.005.600","3,67","-0,54%"
"UGPA3","Ultrapar","2.987.300","17,91","-0,44%"
"MOVI3","Movida","2.985.700","6,97","+0,14%"
"VIVT3","Vivo","2.963.200","34,75","+1,25%"
"BRAP4","Bradespar","2.915.600","16,06","-0,43%"
"ECOR3","EcoRodovias","2.823.800","7,25","-0,55%"
"KLBN11","Klabin","2.768.800","18,35","-0,16%"
"TOTS3","Totvs","2.677.700","42,32","+0,05%"
"BBSE3","BB Seguridade","2.670.500","32,17","+1,16%"
"HBOR3","Helbor","2.662.100","3,18","+4,26%"
"SUZB3","Suzano","2.604.200","53,41","-0,65%"
"IGTI11","Iguatemi","2.577.700","22,23","-1,20%"
"IGTI11","Jereissati Participações","2.577.700","22,23","-1,20%"
"MULT3","Multiplan","2.557.700","26,77","-0,22%"
"CPLE3","Copel","2.502.100","11,29","-0,35%"
"PSSA3","Porto Seguro","2.494.500","51,55","+1,02%"
"CXSE3","Caixa Seguridade","2.359.600","13,76","+0,29%"
"IFCM3","Infracommerce","2.294.100","0,40","-9,09%"
"ELET6","Eletrobras","2.283.000","46,35","+0,65%"
"SLCE3","SLC Agrícola","2.172.700","17,25","+0,35%"
"GMAT3","Grupo Mateus","2.170.200","6,91","-0,43%"
"CASH3","Méliuz","2.042.500","4,85","-4,90%"
"BRKM5","Braskem","2.035.200","8,70","+1,75%"
"ALUP11","Alupar","1.941.300","29,40","-0,41%"
"YDUQ3","YDUQS","1.863.800","13,05","+1,16%"
"VULC3","Vulcabras","1.847.000","20,00","+1,32%"
"GGPS3","GPS","1.772.500","16,77","-0,47%"
"KLBN4","Klabin","1.714.600","3,66","+0,27%"
"TEND3","Construtora Tenda","1.684.200","21,29","+1,24%"
"INTB3","Intelbras","1.672.000","12,23","+1,33%"
"STBP3","Santos Brasil","1.653.700","14,20","+0,14%"
"AZZA3","Arezzo","1.632.200","33,45","+1,06%"
"LJQQ3","Lojas Quero-Quero","1.594.000","2,39","+3,46%"
"VIVA3","Vivara","1.569.300","27,78","-1,10%"
"TAEE11","Taesa","1.559.600","33,90","+0,41%"
"HYPE3","Hypera","1.525.700","23,57","-0,76%"
"SANB11","Banco Santander","1.488.200","27,31","+0,70%"
"ALPA4","Alpargatas","1.472.800","9,47","+0,21%"
"SBFG3","Grupo SBF","1.461.700","10,63","+1,43%"
"CURY3","Cury","1.420.500","33,39","+0,91%"
"SBSP3","Sabesp","1.368.900","119,38","+0,38%"
"AZTE3","AZT Energia","1.363.300","0,53","+0,00%"
"AZEV4","Azevedo & Travassos","1.351.000","0,53","+0,00%"
"SAPR11","Sanepar","1.323.900","33,79","-0,62%"
"MLAS3","Multilaser","1.293.300","0,95","+1,06%"
"ENJU3","Enjoei","1.257.800","0,99","-1,00%"
"SMTO3","São Martinho","1.242.200","17,00","+1,01%"
"FLRY3","Fleury","1.227.600","14,19","-0,14%"
"AMER3","Americanas","1.214.900","5,26","+3,14%"
"CPFE3","CPFL Energia","1.177.200","39,28","-1,01%"
"ISAE4","ISA Energia","1.172.800","22,45","+0,22%"
"JHSF3","JHSF","1.054.600","5,53","-0,18%"
"LIGT3","Light","1.048.400","5,93","-1,66%"
"JALL3","Jalles Machado","1.030.800","2,77","-1,42%"
"ZAMP3","Zamp","969.200","3,48","-0,29%"
"ARML3","Armac","927.000","3,92","-3,21%"
"EZTC3","EZTEC","911.500","14,01","+1,67%"
"MDNE3","Moura Dubeux","910.600","25,49","+2,21%"
"DASA3","Dasa","879.000","1,24","-0,80%"
"KEPL3","Kepler Weber","835.700","7,36","+0,14%"
"DXCO3","Dexco","823.800","5,71","+0,00%"
"TTEN3","3tentos","823.200","14,40","-0,35%"
"GRND3","Grendene","822.500","5,29","-0,19%"
"SEER3","Ser Educacional","803.500","8,74","-1,13%"
"FIQE3","Unifique","794.200","4,16","+0,97%"
"QUAL3","Qualicorp","788.600","1,84","+1,10%"
"ODPV3","Odontoprev","786.200","13,02","+0,15%"
"RCSL4","Recrusul","784.400","1,14","+0,88%"
"SYNE3","SYN","783.100","6,46","-1,67%"
"BRSR6","Banrisul","773.300","11,30","-0,70%"
"BPAN4","Banco Pan","753.900","7,78","-0,89%"
"SAPR4","Sanepar","733.500","6,50","-0,61%"
